20001	5,644,600	2	6
20002	13,616,300	5	14
20003	5,806,700	2	6
20004	901,753	0	1
20005	1,103,660	0	1
20006	878,122	0	1
20007	7,787,300	3	8
20008	7,865,020	3	8
20009	3,405,910	1	3
20010	2,807,750	1	3
20011	12,631,500	5	13
20012	5,857,660	2	6
20015	8,940,120	3	9
20016	11,499,400	4	11
20017	5,722,790	2	6
20018	7,810,830	3	8
20019	15,980,800	6	16
20020	11,948,300	5	12
20024	6,770,280	3	7
20032	13,604,100	5	14
20036	862,180	0	1
20037	1,668,860	1	2
20045	27,766	0	0
20052	7,062	0	0
20053	85,108	0	0
20057	434,173	0	0
20064	506,097	0	1
20202	18,721	0	0
20204	14,638	0	0
20228	81,628	0	0
20230	55,495	0	0
20240	31,673	0	0
20245	64,474	0	0
20260	44,402	0	0
20307	342,486	0	0
20317	1,180,230	0	1
20319	361,932	0	0
20373	936,803	0	1
20390	10,935	0	0
20405	33,011	0	0
20418	29,418	0	0
20427	17,366	0	0
20506	49,203	0	0
20510	30,810	0	0
20520	83,728	0	0
20535	12,919	0	0
20540	86,892	0	0
20551	23,513	0	0
20553	25,135	0	0
20560	51,472	0	0
20565	173,126	0	0
20566	102,187	0	0
20593	78,201	0	0
